Atomic_mass,Atomic_no,Atomic_orbitals,Atomic_radius,Atomic_radius_calculated,Boiling_point,Brinell_hardness,Bulk_modulus,Coefficient_of_linear_thermal_expansion,Common_oxidation_states,Critical_temperature,Density_of_solid,Electrical_resistivity,Electronic_structure,ICSD_oxidation_states,Liquid_range,Melting_point,Mendeleev_no,Mineral_hardness,Molar_volume,Name,Oxidation_states,Poissons_ratio,Reflectivity,Refractive_index,Rigidity_modulus,Shannon_radii,Superconduction_temperature,Thermal_conductivity,Van_der_waals_radius,Velocity_of_sound,Vickers_hardness,X,Youngs_modulus,NMR_Quadrupole_Moment,Metallic_radius,iupac_ordering,IUPAC_ordering,symbol,Z,average_anionic_radius,average_cationic_radius,average_ionic_radius,block,full_electronic_structure,group,icsd_oxidation_states,ionic_radii,is_actinoid,is_alkali,is_alkaline,is_chalcogen,is_halogen,is_lanthanoid,is_metal,is_metalloid,is_noble_gas,is_post_transition_metal,is_quadrupolar,is_rare_earth_metal,is_transition_metal,long_name,max_oxidation_state,min_oxidation_state,number,row,valence,Max_oxidation_state,Min_oxidation_state,Ionic_radii,Ionic_radii_hs,Ionic_radii_ls,Ionic_radii_-1,Ionic_radii_7,Ionic_radii_5,Ionic_radii_8,Ionic_radii_4,Ionic_radii_1,Ionic_radii_2,Ionic_radii_-2,Ionic_radii_-3,Ionic_radii_6,Ionic_radii_3
92.90638,41.0,"{'1s': -673.76253, '2p': -85.272175, '2s': -92.74086, '3d': -7.339839, '3p': -12.552855, '3s': -15.393727, '4d': -0.125252, '4p': -1.250049, '4s': -2.036693, '5s': -0.144272}",1.45,1.98,5017 K,736 MN m<sup>-2</sup>,170 GPa,7.3 x10<sup>-6</sup>K<sup>-1</sup>,[5],no data K,8570 kg m<sup>-3</sup>,15.2 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>4</sup>.5s<sup>1</sup>,"[2, 3, 4, 5]",2267 K,2750 K,53.0,6.0,10.83 cm<sup>3</sup>,Niobium,"[-1, 2, 3, 4, 5]",0.40,no data %,no data,38 GPa,"{'3': {'VI': {'': {'crystal_radius': 0.86, 'ionic_radius': 0.72}}}, '4': {'VI': {'': {'crystal_radius': 0.82, 'ionic_radius': 0.68}}, 'VIII': {'': {'crystal_radius': 0.93, 'ionic_radius': 0.79}}}, '5': {'IV': {'': {'crystal_radius': 0.62, 'ionic_radius': 0.48}}, 'VI': {'': {'crystal_radius': 0.78, 'ionic_radius': 0.64}}, 'VII': {'': {'crystal_radius': 0.83, 'ionic_radius': 0.69}}, 'VIII': {'': {'crystal_radius': 0.88, 'ionic_radius': 0.74}}}}",9.25 K,54 W m<sup>-1</sup> K<sup>-1</sup>,no data,3480 m s<sup>-1</sup>,1320 MN m<sup>-2</sup>,1.6,105 GPa,,1.473,54.0,54.0,Nb,41.0,0.0,0.82,0.82,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 4), (5, 's', 1)]",5.0,"(2, 3, 4, 5)","{3: 0.86, 4: 0.82, 5: 0.78}",False,False,False,False,False,False,True,False,False,False,False,False,True,Niobium,5.0,-1.0,41.0,5.0,,,,"{'3': 0.86, '4': 0.82, '5': 0.78}",,,,,0.78,,0.82,,,,,,0.86
95.94,42.0,"{'1s': -709.232119, '2p': -90.791541, '2s': -98.503638, '3d': -8.257721, '3p': -13.71481, '3s': -16.681545, '4d': -0.153347, '4p': -1.39005, '4s': -2.234824, '5s': -0.14788}",1.45,1.9,4912 K,1500 MN m<sup>-2</sup>,230 GPa,4.8 x10<sup>-6</sup>K<sup>-1</sup>,"[4, 6]",no data K,10280 kg m<sup>-3</sup>,5.5 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>5</sup>.5s<sup>1</sup>,"[2, 3, 4, 5, 6]",2016 K,2896 K,56.0,5.5,9.38 cm<sup>3</sup>,Molybdenum,"[-2, -1, 1, 2, 3, 4, 5, 6]",0.31,58 %,no data,20 GPa,"{'3': {'VI': {'': {'crystal_radius': 0.83, 'ionic_radius': 0.69}}}, '4': {'VI': {'': {'crystal_radius': 0.79, 'ionic_radius': 0.65}}}, '5': {'IV': {'': {'crystal_radius': 0.6, 'ionic_radius': 0.46}}, 'VI': {'': {'crystal_radius': 0.75, 'ionic_radius': 0.61}}}, '6': {'IV': {'': {'crystal_radius': 0.55, 'ionic_radius': 0.41}}, 'V': {'': {'crystal_radius': 0.64, 'ionic_radius': 0.5}}, 'VI': {'': {'crystal_radius': 0.73, 'ionic_radius': 0.59}}, 'VII': {'': {'crystal_radius': 0.87, 'ionic_radius': 0.73}}}}",0.915 K,139 W m<sup>-1</sup> K<sup>-1</sup>,no data,6190 m s<sup>-1</sup>,1530 MN m<sup>-2</sup>,2.16,329 GPa,,1.402,57.0,57.0,Mo,42.0,0.0,0.775,0.775,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 5), (5, 's', 1)]",6.0,"(2, 3, 4, 5, 6)","{3: 0.83, 4: 0.79, 5: 0.75, 6: 0.73}",False,False,False,False,False,False,True,False,False,False,False,False,True,Molybdenum,6.0,-2.0,42.0,5.0,,,,"{'3': 0.83, '4': 0.79, '5': 0.75, '6': 0.73}",,,,,0.75,,0.79,,,,,0.73,0.83
98.0,43.0,"{'1s': -745.742024, '2p': -96.61021, '2s': -104.567508, '3d': -9.33986, '3p': -15.041738, '3s': -18.135303, '4d': -0.270262, '4p': -1.64323, '4s': -2.550712, '5s': -0.183636}",1.35,1.83,4538 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[4, 7]",no data K,11500 kg m<sup>-3</sup>,about 22 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>5</sup>.5s<sup>2</sup>,,2108 K,2430 K,59.0,no data,8.63 cm<sup>3</sup>,Technetium,"[-3, -1, 1, 2, 3, 4, 5, 6, 7]",no data,no data %,no data,no data GPa,"{'4': {'VI': {'': {'crystal_radius': 0.785, 'ionic_radius': 0.645}}}, '5': {'VI': {'': {'crystal_radius': 0.74, 'ionic_radius': 0.6}}}, '7': {'IV': {'': {'crystal_radius': 0.51, 'ionic_radius': 0.37}}, 'VI': {'': {'crystal_radius': 0.7, 'ionic_radius': 0.56}}}}",7.8 K,51 W m<sup>-1</sup> K<sup>-1</sup>,no data,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.9,no data GPa,,1.363,60.0,60.0,Tc,43.0,0.0,0.7416666666666666,0.7416666666666666,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 5), (5, 's', 2)]",7.0,(),"{4: 0.785, 5: 0.74, 7: 0.7}",False,False,False,False,False,False,True,False,False,False,False,False,True,Technetium,7.0,-3.0,43.0,5.0,"(2, 5)",,,"{'4': 0.785, '5': 0.74, '7': 0.7}",,,,0.7,0.74,,0.785,,,,,,
101.07,44.0,"{'1s': -782.918621, '2p': -102.333649, '2s': -110.536054, '3d': -10.195668, '3p': -16.145217, '3s': -19.366692, '4d': -0.210375, '4p': -1.667549, '4s': -2.628363, '5s': -0.152834}",1.3,1.78,4423 K,2160 MN m<sup>-2</sup>,220 GPa,6.4 x10<sup>-6</sup>K<sup>-1</sup>,"[3, 4]",no data K,12370 kg m<sup>-3</sup>,7.1 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>7</sup>.5s<sup>1</sup>,"[2, 3, 4, 5, 6]",1816 K,2607 K,62.0,6.5,8.17 cm<sup>3</sup>,Ruthenium,"[-2, 1, 2, 3, 4, 5, 6, 7, 8]",0.30,no data %,no data,173 GPa,"{'3': {'VI': {'': {'crystal_radius': 0.82, 'ionic_radius': 0.68}}}, '4': {'VI': {'': {'crystal_radius': 0.76, 'ionic_radius': 0.62}}}, '5': {'VI': {'': {'crystal_radius': 0.705, 'ionic_radius': 0.565}}}, '7': {'IV': {'': {'crystal_radius': 0.52, 'ionic_radius': 0.38}}}, '8': {'IV': {'': {'crystal_radius': 0.5, 'ionic_radius': 0.36}}}}",0.49 K,120 W m<sup>-1</sup> K<sup>-1</sup>,no data,5970 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.2,447 GPa,,1.339,63.0,63.0,Ru,44.0,0.0,0.661,0.661,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 7), (5, 's', 1)]",8.0,"(2, 3, 4, 5, 6)","{3: 0.82, 4: 0.76, 5: 0.705, 7: 0.52, 8: 0.5}",False,False,False,False,False,False,True,False,False,False,False,False,True,Ruthenium,8.0,-2.0,44.0,5.0,,,,"{'3': 0.82, '4': 0.76, '5': 0.705, '7': 0.52, '8': 0.5}",,,,0.52,0.705,0.5,0.76,,,,,,0.82
102.9055,45.0,"{'1s': -821.136773, '2p': -108.357665, '2s': -116.80695, '3d': -11.21725, '3p': -17.415299, '3s': -20.765603, '4d': -0.239422, '4p': -1.806456, '4s': -2.825505, '5s': -0.154624}",1.35,1.73,3968 K,1100 MN m<sup>-2</sup>,380 GPa,8.2 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,12450 kg m<sup>-3</sup>,4.3 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>8</sup>.5s<sup>1</sup>,"[3, 4]",1731 K,2237 K,65.0,6.0,8.28 cm<sup>3</sup>,Rhodium,"[-1, 1, 2, 3, 4, 5, 6]",0.26,84 %,no data,150 GPa,"{'3': {'VI': {'': {'crystal_radius': 0.805, 'ionic_radius': 0.665}}}, '4': {'VI': {'': {'crystal_radius': 0.74, 'ionic_radius': 0.6}}}, '5': {'VI': {'': {'crystal_radius': 0.69, 'ionic_radius': 0.55}}}}",no data K,150 W m<sup>-1</sup> K<sup>-1</sup>,no data,4700 m s<sup>-1</sup>,1246 MN m<sup>-2</sup>,2.28,275 GPa,,1.345,66.0,66.0,Rh,45.0,0.0,0.745,0.745,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 8), (5, 's', 1)]",9.0,"(3, 4)","{3: 0.805, 4: 0.74, 5: 0.69}",False,False,False,False,False,False,True,False,False,False,False,False,True,Rhodium,6.0,-1.0,45.0,5.0,,,,"{'3': 0.805, '4': 0.74, '5': 0.69}",,,,,0.69,,0.74,,,,,,0.805
106.42,46.0,"{'1s': -860.134909, '2p': -114.408286, '2s': -123.105078, '3d': -12.132197, '3p': -18.580798, '3s': -22.060898, '4d': -0.160771, '4p': -1.815215, '4s': -2.889173}",1.4,1.69,3236 K,37.3 MN m<sup>-2</sup>,180 GPa,11.8 x10<sup>-6</sup>K<sup>-1</sup>,"[2, 4]",no data K,12023 kg m<sup>-3</sup>,10.8 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>,"[2, 4]",1407.95 K,1828.05 K,69.0,4.75,8.56 cm<sup>3</sup>,Palladium,"[2, 4]",0.39,72 %,no data,44 GPa,"{'1': {'II': {'': {'crystal_radius': 0.73, 'ionic_radius': 0.59}}}, '2': {'IVSQ': {'': {'crystal_radius': 0.78, 'ionic_radius': 0.64}}, 'VI': {'': {'crystal_radius': 1.0, 'ionic_radius': 0.86}}}, '3': {'VI': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}}, '4': {'VI': {'': {'crystal_radius': 0.755, 'ionic_radius': 0.615}}}}",no data K,72 W m<sup>-1</sup> K<sup>-1</sup>,1.63,3070 m s<sup>-1</sup>,461 MN m<sup>-2</sup>,2.2,121 GPa,,1.376,69.0,69.0,Pd,46.0,0.0,0.84625,0.84625,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10)]",10.0,"(2, 4)","{1: 0.73, 2: 1.0, 3: 0.9, 4: 0.755}",False,False,False,False,False,False,True,False,False,False,False,False,True,Palladium,4.0,2.0,46.0,5.0,,,,"{'1': 0.73, '2': 1.0, '3': 0.9, '4': 0.755}",,,,,,,0.755,0.73,1.0,,,,0.9
107.8682,47.0,"{'1s': -900.324578, '2p': -120.913351, '2s': -129.859807, '3d': -13.367803, '3p': -20.06763, '3s': -23.678437, '4d': -0.298706, '4p': -2.086602, '4s': -3.22309, '5s': -0.157407}",1.6,1.65,2435 K,24.5 MN m<sup>-2</sup>,100 GPa,18.9 x10<sup>-6</sup>K<sup>-1</sup>,[1],no data K,10490 kg m<sup>-3</sup>,1.63 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>.5s<sup>1</sup>,"[1, 2, 3]",1200.07 K,1234.93 K,71.0,2.5,10.27 cm<sup>3</sup>,Silver,"[1, 2, 3]",0.37,97 %,no data,30 GPa,"{'1': {'II': {'': {'crystal_radius': 0.81, 'ionic_radius': 0.67}}, 'IV': {'': {'crystal_radius': 1.14, 'ionic_radius': 1.0}}, 'IVSQ': {'': {'crystal_radius': 1.16, 'ionic_radius': 1.02}}, 'V': {'': {'crystal_radius': 1.23, 'ionic_radius': 1.09}}, 'VI': {'': {'crystal_radius': 1.29, 'ionic_radius': 1.15}}, 'VII': {'': {'crystal_radius': 1.36, 'ionic_radius': 1.22}}, 'VIII': {'': {'crystal_radius': 1.42, 'ionic_radius': 1.28}}}, '2': {'IVSQ': {'': {'crystal_radius': 0.93, 'ionic_radius': 0.79}}, 'VI': {'': {'crystal_radius': 1.08, 'ionic_radius': 0.94}}}, '3': {'IVSQ': {'': {'crystal_radius': 0.81, 'ionic_radius': 0.67}}, 'VI': {'': {'crystal_radius': 0.89, 'ionic_radius': 0.75}}}}",no data K,430 W m<sup>-1</sup> K<sup>-1</sup>,1.72,2600 m s<sup>-1</sup>,251 MN m<sup>-2</sup>,1.93,83 GPa,,1.445,72.0,72.0,Ag,47.0,0.0,1.0866666666666667,1.0866666666666667,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 1)]",11.0,"(1, 2, 3)","{1: 1.29, 2: 1.08, 3: 0.89}",False,False,False,False,False,False,True,False,False,False,False,False,True,Silver,3.0,1.0,47.0,5.0,"(0, 1)",,,"{'1': 1.29, '2': 1.08, '3': 0.89}",,,,,,,,1.29,1.08,,,,0.89
112.411,48.0,"{'1s': -941.476646, '2p': -127.63512, '2s': -136.83249, '3d': -14.685252, '3p': -21.637522, '3s': -25.379908, '4d': -0.47053, '4p': -2.39526, '4s': -3.596069, '5s': -0.204228}",1.55,1.61,1040 K,203 MN m<sup>-2</sup>,42 GPa,30.8 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,8650 kg m<sup>-3</sup>,7 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>.5s<sup>2</sup>,[2],445.78 K,594.22 K,75.0,2.0,13.00 cm<sup>3</sup>,Cadmium,"[1, 2]",0.30,67 %,no data,19 GPa,"{'2': {'IV': {'': {'crystal_radius': 0.92, 'ionic_radius': 0.78}}, 'V': {'': {'crystal_radius': 1.01, 'ionic_radius': 0.87}}, 'VI': {'': {'crystal_radius': 1.09, 'ionic_radius': 0.95}}, 'VII': {'': {'crystal_radius': 1.17, 'ionic_radius': 1.03}}, 'VIII': {'': {'crystal_radius': 1.24, 'ionic_radius': 1.1}}, 'XII': {'': {'crystal_radius': 1.45, 'ionic_radius': 1.31}}}}",0.517 K,97 W m<sup>-1</sup> K<sup>-1</sup>,1.58,2310 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.69,50 GPa,,1.51,75.0,75.0,Cd,48.0,0.0,1.09,1.09,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2)]",12.0,"(2,)",{2: 1.09},False,False,False,False,False,False,True,False,False,False,False,False,True,Cadmium,2.0,1.0,48.0,5.0,,,,{'2': 1.09},,,,,,,,,1.09,,,,
114.818,49.0,"{'1s': -983.647445, '2p': -134.628845, '2s': -144.078357, '3d': -16.139823, '3p': -23.345778, '3s': -27.2206, '4d': -0.730481, '4p': -2.795832, '4s': -4.062639, '5p': -0.101782, '5s': -0.290497}",1.55,1.56,2345 K,8.83 MN m<sup>-2</sup>,no data GPa,32.1 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,7310 kg m<sup>-3</sup>,8 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>.5s<sup>2</sup>.5p<sup>1</sup>,"[1, 2, 3]",1915.25 K,429.75 K,79.0,1.2,15.76 cm<sup>3</sup>,Indium,"[1, 2, 3]",no data,no data %,no data,no data GPa,"{'3': {'IV': {'': {'crystal_radius': 0.76, 'ionic_radius': 0.62}}, 'VI': {'': {'crystal_radius': 0.94, 'ionic_radius': 0.8}}, 'VIII': {'': {'crystal_radius': 1.06, 'ionic_radius': 0.92}}}}",3.41 K,82 W m<sup>-1</sup> K<sup>-1</sup>,1.93,1215 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.78,11 GPa,"{'In-113': 759.8, 'In-115': 770.8}",1.67,78.0,78.0,In,49.0,0.0,0.94,0.94,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 1)]",13.0,"(1, 2, 3)",{3: 0.94},False,False,False,False,False,False,True,False,False,True,True,False,False,Indium,3.0,1.0,49.0,5.0,"(1, 1)",,,{'3': 0.94},,,,,,,,,,,,,0.94
118.71,50.0,"{'1s': -1026.762169, '2p': -141.821093, '2s': -151.523991, '3d': -17.657276, '3p': -25.117913, '3s': -29.125969, '4d': -1.004952, '4p': -3.211998, '4s': -4.546335, '5p': -0.14445, '5s': -0.369349}",1.45,1.45,2875 K,51 MN m<sup>-2</sup>,58 GPa,22 x10<sup>-6</sup>K<sup>-1</sup>,"[-4, 2, 4]",no data K,7310 kg m<sup>-3</sup>,11.5 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>.5s<sup>2</sup>.5p<sup>2</sup>,"[2, 3, 4]",2369.92 K,505.08 K,83.0,1.5,16.29 cm<sup>3</sup>,Tin,"[-4, 2, 4]",0.36,54 %,no data,18 GPa,"{'4': {'IV': {'': {'crystal_radius': 0.69, 'ionic_radius': 0.55}}, 'V': {'': {'crystal_radius': 0.76, 'ionic_radius': 0.62}}, 'VI': {'': {'crystal_radius': 0.83, 'ionic_radius': 0.69}}, 'VII': {'': {'crystal_radius': 0.89, 'ionic_radius': 0.75}}, 'VIII': {'': {'crystal_radius': 0.95, 'ionic_radius': 0.81}}}}",3.72 K,67 W m<sup>-1</sup> K<sup>-1</sup>,2.17,2500 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.96,50 GPa,{'Sn-119': -132.1},1.58,83.0,83.0,Sn,50.0,0.0,0.83,0.83,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 2)]",14.0,"(2, 3, 4)",{4: 0.83},False,False,False,False,False,False,True,False,False,True,True,False,False,Tin,4.0,-4.0,50.0,5.0,"(1, 2)",,,{'4': 0.83},,,,,,,0.83,,,,,,
121.76,51.0,"{'1s': -1070.823495, '2p': -149.214271, '2s': -159.171745, '3d': -19.239895, '3p': -26.956184, '3s': -31.098242, '4d': -1.297338, '4p': -3.646579, '4s': -5.04964, '5p': -0.185623, '5s': -0.445605}",1.45,1.33,1860 K,294 MN m<sup>-2</sup>,42 GPa,11 x10<sup>-6</sup>K<sup>-1</sup>,"[-3, 3, 5]",no data K,6697 kg m<sup>-3</sup>,40 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>.5s<sup>2</sup>.5p<sup>3</sup>,"[-2, 3, 5, -1, -3]",956.22 K,903.78 K,88.0,3.0,18.19 cm<sup>3</sup>,Antimony,"[-3, 3, 5]",no data,55 %,no data,20 GPa,"{'3': {'IVPY': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}, 'V': {'': {'crystal_radius': 0.94, 'ionic_radius': 0.8}}, 'VI': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}}, '5': {'VI': {'': {'crystal_radius': 0.74, 'ionic_radius': 0.6}}}}",no data K,24 W m<sup>-1</sup> K<sup>-1</sup>,2.06,3420 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.05,55 GPa,"{'Sb-121': -543.11, 'Sb-123': -692.14}",1.61,88.0,88.0,Sb,51.0,0.0,0.8300000000000001,0.8300000000000001,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 3)]",15.0,"(-2, 3, 5, -1, -3)","{3: 0.9, 5: 0.76}",False,False,False,False,False,False,False,True,False,False,True,False,False,Antimony,5.0,-3.0,51.0,5.0,"(1, 3)",,,"{'3': 0.9, '5': 0.76}",,,,,0.76,,,,,,,,0.9
127.6,52.0,"{'1s': -1115.831819, '2p': -156.808583, '2s': -167.021776, '3d': -20.887801, '3p': -28.860685, '3s': -33.137485, '4d': -1.608381, '4p': -4.100084, '4s': -5.572846, '5p': -0.226594, '5s': -0.520997}",1.4,1.23,1261 K,180 MN m<sup>-2</sup>,65 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-2, 2, 4, 6]",no data K,6240 kg m<sup>-3</sup>,about 10000 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>.5s<sup>2</sup>.5p<sup>4</sup>,"[-2, 4, -1, 6]",538.34 K,722.66 K,92.0,2.25,20.46 cm<sup>3</sup>,Tellurium,"[-2, 2, 4, 5, 6]",no data,50 %,1.000991,16 GPa,"{'-2': {'VI': {'': {'crystal_radius': 2.07, 'ionic_radius': 2.21}}}, '4': {'III': {'': {'crystal_radius': 0.66, 'ionic_radius': 0.52}}, 'IV': {'': {'crystal_radius': 0.8, 'ionic_radius': 0.66}}, 'VI': {'': {'crystal_radius': 1.11, 'ionic_radius': 0.97}}}, '6': {'IV': {'': {'crystal_radius': 0.57, 'ionic_radius': 0.43}}, 'VI': {'': {'crystal_radius': 0.7, 'ionic_radius': 0.56}}}}",no data K,3 W m<sup>-1</sup> K<sup>-1</sup>,2.06,2610 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.1,43 GPa,,no data,94.0,94.0,Te,52.0,2.07,0.905,1.2933333333333332,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 4)]",16.0,"(-2, 4, -1, 6)","{-2: 2.07, 4: 1.11, 6: 0.7}",False,False,False,True,False,False,False,True,False,False,False,False,False,Tellurium,6.0,-2.0,52.0,5.0,"(1, 4)",,,"{'-2': 2.07, '4': 1.11, '6': 0.7}",,,,,,,1.11,,,2.07,,0.7,
126.90447,53.0,"{'1s': -1161.787047, '2p': -164.603788, '2s': -175.073804, '3d': -22.600693, '3p': -30.831092, '3s': -35.243351, '4d': -1.938179, '4p': -4.572522, '4s': -6.115811, '5p': -0.267904, '5s': -0.596339}",1.4,1.15,457.4 K,no data MN m<sup>-2</sup>,7.7 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-1, 1, 3, 5, 7]",819 K,4940 kg m<sup>-3</sup>,&gt; 10<sup>15</sup>10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>.5s<sup>2</sup>.5p<sup>5</sup>,"[5, -1]",70.55 K,386.85 K,97.0,no data,25.72 cm<sup>3</sup>,Iodine,"[-1, 1, 3, 5, 7]",no data,no data %,no data,no data GPa,"{'-1': {'VI': {'': {'crystal_radius': 2.06, 'ionic_radius': 2.2}}}, '5': {'IIIPY': {'': {'crystal_radius': 0.58, 'ionic_radius': 0.44}}, 'VI': {'': {'crystal_radius': 1.09, 'ionic_radius': 0.95}}}, '7': {'IV': {'': {'crystal_radius': 0.56, 'ionic_radius': 0.42}}, 'VI': {'': {'crystal_radius': 0.67, 'ionic_radius': 0.53}}}}",no data K,0.449 W m<sup>-1</sup> K<sup>-1</sup>,1.98,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.66,no data GPa,"{'I-127': -696.12, 'I-129': -604.1}",no data,99.0,99.0,I,53.0,2.06,0.8800000000000001,1.2733333333333334,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 5)]",17.0,"(5, -1)","{-1: 2.06, 5: 1.09, 7: 0.67}",False,False,False,False,True,False,False,False,False,False,True,False,False,Iodine,7.0,-1.0,53.0,5.0,"(1, 5)",,,"{'-1': 2.06, '5': 1.09, '7': 0.67}",,,2.06,0.67,1.09,,,,,,,,
131.293,54.0,"{'1s': -1208.688993, '2p': -172.599583, '2s': -183.327495, '3d': -24.37823, '3p': -32.867042, '3s': -37.415454, '4d': -2.286666, '4p': -5.063802, '4s': -6.67834, '5p': -0.309835, '5s': -0.672086}",no data,1.08,165.1 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,,289.7 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>10</sup>.5s<sup>2</sup>.5p<sup>6</sup>,,3.7 K,161.4 K,5.0,no data,35.92 cm<sup>3</sup>,Xenon,,no data,no data %,1.000702,no data GPa,"{'8': {'IV': {'': {'crystal_radius': 0.54, 'ionic_radius': 0.4}}, 'VI': {'': {'crystal_radius': 0.62, 'ionic_radius': 0.48}}}}",no data K,0.00565 W m<sup>-1</sup> K<sup>-1</sup>,2.16,1090 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.6,no data GPa,,no data,1.0,1.0,Xe,54.0,0.0,0.62,0.62,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6)]",18.0,(),{8: 0.62},False,False,False,False,False,False,False,False,True,False,False,False,False,Xenon,0.0,0.0,54.0,5.0,"(nan, 0)",8.0,2.0,{'8': 0.62},,,,,,0.62,,,,,,,
